timestamp,valor
1748355654.0825205,"ID: 2022 | Temperatura: 26.40 C | Pressao: 1018.88 hPa | Accel [X,Y,Z]: -0.083, -0.138, 0.918 | Gyro [X,Y,Z] (°/s): -0.90, -2.10, ovf"
1748355655.2104201,"ID: 2023 | Temperatura: 26.40 C | Pressao: 1018.85 hPa | Accel [X,Y,Z]: -0.080, -0.136, 0.918 | Gyro [X,Y,Z] (°/s): -1.08, -2.14, ovf"
1748355656.3384717,"ID: 2024 | Temperatura: 26.40 C | Pressao: 1018.90 hPa | Accel [X,Y,Z]: -0.080, -0.140, 0.920 | Gyro [X,Y,Z] (°/s): -0.85, -2.11, ovf"
1748355657.4667687,"ID: 2025 | Temperatura: 26.40 C | Pressao: 1018.82 hPa | Accel [X,Y,Z]: -0.083, -0.140, 0.927 | Gyro [X,Y,Z] (°/s): -1.12, -2.05, ovf"
1748355658.5947278,"ID: 2026 | Temperatura: 26.40 C | Pressao: 1018.82 hPa | Accel [X,Y,Z]: -0.082, -0.131, 0.909 | Gyro [X,Y,Z] (°/s): -0.80, -2.31, ovf"
1748355659.7229924,"ID: 2027 | Temperatura: 26.40 C | Pressao: 1018.86 hPa | Accel [X,Y,Z]: -0.076, -0.138, 0.914 | Gyro [X,Y,Z] (°/s): -1.03, -2.34, ovf"
1748355660.850038,"ID: 2028 | Temperatura: 26.40 C | Pressao: 1018.89 hPa | Accel [X,Y,Z]: -0.082, -0.142, 0.910 | Gyro [X,Y,Z] (°/s): -0.97, -2.36, ovf"
1748355661.9767716,"ID: 2029 | Temperatura: 26.40 C | Pressao: 1018.84 hPa | Accel [X,Y,Z]: -0.085, -0.136, 0.913 | Gyro [X,Y,Z] (°/s): -1.00, -2.30, ovf"
1748355663.1054342,"ID: 2030 | Temperatura: 26.40 C | Pressao: 1018.86 hPa | Accel [X,Y,Z]: -0.076, -0.137, 0.909 | Gyro [X,Y,Z] (°/s): -1.02, -2.19, ovf"
1748355664.2341626,"ID: 2031 | Temperatura: 26.40 C | Pressao: 1018.84 hPa | Accel [X,Y,Z]: -0.078, -0.143, 0.925 | Gyro [X,Y,Z] (°/s): -0.96, -2.29, ovf"
1748355665.3642406,"ID: 2032 | Temperatura: 26.40 C | Pressao: 1018.83 hPa | Accel [X,Y,Z]: -0.080, -0.141, 0.910 | Gyro [X,Y,Z] (°/s): -0.95, -2.10, ovf"
