timestamp,radio_latency,mqtt_latency,total_latency,temperatura,pressao
1750128387.3762038,4294870207,1750128267492,1750128267492,,
1750128388.510121,4294870216,1750128267500,1750128267500,23.50,1023.69
1750128389.636099,4294870224,1750128267509,1750128267509,23.50,1023.70
1750128390.767548,4294870232,1750128267516,1750128267516,23.50,1023.75
1750128391.9249675,4294870240,1750128267524,1750128267524,23.50,1023.69
1750128393.0847807,4294870248,1750128267532,1750128267532,23.50,1023.72
1750128394.357173,4294870256,1750128267540,1750128267540,23.50,1023.75
1750128395.3636928,4294870266,1750128267550,1750128267550,23.50,1023.75
1750128396.5134141,4294870272,1750128267557,1750128267557,23.50,1023.74
1750128397.667609,4294870282,1750128267566,1750128267566,23.50,1023.74
1750128398.8197386,4294870288,1750128267573,1750128267573,23.50,1023.72
1750128399.9848905,4294870297,1750128267582,1750128267582,23.50,1023.73
1750128401.1399705,4294870303,1750128267588,1750128267588,23.50,1023.75
1750128402.442581,4294870313,1750128267598,1750128267598,23.50,1023.69
1750128403.4076493,4294870320,1750128267605,1750128267605,23.50,1023.69
1750128404.5566413,4294870328,1750128267613,1750128267613,23.50,1023.66
1750128405.7500849,4294870338,1750128267623,1750128267623,23.50,1023.76
1750128406.8677573,4294870345,1750128267630,1750128267630,23.50,1023.70
1750128408.0744734,4294870352,1750128267637,1750128267637,23.50,1023.72
1750128409.2071285,4294870360,1750128267645,1750128267645,23.50,1023.67
1750128410.3840525,4294870370,1750128267654,1750128267654,23.50,1023.70
1750128411.6559944,4294870377,1750128267661,1750128267661,23.50,1023.67
1750128412.6426158,4294870385,1750128267669,1750128267669,23.50,1023.73
1750128413.834408,4294870392,1750128267678,1750128267678,23.50,1023.71
1750128414.9565227,4294870401,1750128267686,1750128267686,23.50,1023.70
1750128416.1514337,4294870408,1750128267694,1750128267694,23.60,1023.68
1750128417.264495,4294870418,1750128267703,1750128267703,23.50,1023.72
1750128418.427222,4294870424,1750128267709,1750128267709,23.60,1023.75
1750128419.5688612,4294870433,1750128267718,1750128267718,23.60,1023.69
1750128420.7159097,4294870442,1750128267727,1750128267727,23.60,1023.72
1750128421.8636405,4294870450,1750128267735,1750128267735,23.60,1023.72
1750128423.1047418,4294870457,1750128267742,1750128267742,23.60,1023.73
1750128424.2507362,4294870465,1750128267750,1750128267750,23.60,1023.70
1750128425.32054,4294870474,1750128267759,1750128267759,23.60,1023.76
1750128426.4806423,4294870483,1750128267768,1750128267768,23.60,1023.76
1750128427.6906688,4294870489,1750128267774,1750128267774,23.60,1023.77
1750128428.769843,4294870499,1750128267783,1750128267783,23.60,1023.73
1750128429.885241,4294870506,1750128267791,1750128267791,23.50,1023.75
1750128431.028101,4294870513,1750128267798,1750128267798,23.60,1023.73
1750128432.2269475,4294870520,1750128267807,1750128267807,23.60,1023.63
1750128433.3563144,4294870529,1750128267814,1750128267814,23.50,1023.81
1750128434.477567,4294870537,1750128267822,1750128267822,23.60,1023.76
1750128435.6544154,4294870545,1750128267830,1750128267830,23.60,1023.73
1750128436.806004,4294870554,1750128267840,1750128267840,23.60,1023.67
1750128437.934487,4294870561,1750128267847,1750128267847,23.60,1023.70
1750128439.096953,4294870570,1750128267855,1750128267855,23.60,1023.76
1750128440.3369155,4294870577,1750128267863,1750128267863,23.60,1023.72
1750128441.398876,4294870585,1750128267870,1750128267870,23.60,1023.72
1750128442.5136545,4294870593,1750128267879,1750128267879,23.50,1023.78
1750128443.6834831,4294870602,1750128267888,1750128267888,23.50,1023.63
1750128444.9169037,4294870610,1750128267895,1750128267895,23.60,1023.69
1750128445.947056,4294870617,1750128267903,1750128267903,23.60,1023.68
