timestamp,id,radio_latency,mqtt_latency,total_latency,temperatura,pressao,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
1750169911.835507,1155,10,50,60,23.40,1024.23,1.013,0.008,-0.130,,,
1750169912.940146,1156,10,50,60,23.40,1024.22,1.010,0.020,-0.131,,,
1750169914.3535833,1157,7,50,57,23.40,1024.16,1.015,0.016,-0.128,,,
1750169915.518538,1158,9,50,59,23.40,1024.13,1.011,0.023,-0.125,,,
1750169916.8721502,1159,10,50,60,23.40,1024.18,1.007,0.021,-0.127,,,
1750169918.00439,1160,9,50,59,23.40,1024.14,1.012,0.017,-0.134,,,
1750169919.1833515,1161,5,50,55,23.40,1024.18,1.017,0.022,-0.131,,,
1750169920.2655673,1162,7,50,57,23.40,1024.19,1.012,0.021,-0.128,,,
1750169921.3477583,1163,9,50,59,23.40,1024.19,1.007,0.021,-0.132,,,
1750169922.534255,1164,8,50,58,23.40,1024.16,1.010,0.019,-0.130,,,
1750169923.9087613,1165,11,50,61,23.40,1024.15,1.008,0.018,-0.135,,,
1750169925.1229167,1166,10,50,60,23.40,1024.13,1.010,0.022,-0.127,,,
1750169926.1341376,1167,9,50,59,23.40,1024.20,1.010,0.018,-0.126,,,
1750169927.3147824,1168,9,50,59,23.40,1024.14,1.001,0.019,-0.124,,,
1750169928.3580236,1169,7,50,57,23.40,1024.18,1.011,0.023,-0.125,,,
1750169929.3719237,1170,7,50,57,23.40,1024.13,1.008,0.027,-0.132,,,
1750169930.5587127,1171,8,50,58,23.40,1024.15,1.006,0.019,-0.124,,,
1750169931.5607939,1172,6,50,56,23.40,1024.07,1.012,0.020,-0.129,,,
1750169932.9177744,1173,12,50,62,23.40,1024.23,1.008,0.016,-0.122,,,
1750169934.2036204,1174,7,50,57,23.40,1024.13,1.016,0.015,-0.132,,,
1750169935.3716505,1175,9,50,59,23.40,1024.10,1.009,0.020,-0.130,,,
1750169936.5745423,1176,10,50,60,23.40,1024.26,1.009,0.017,-0.131,,,
1750169937.5411153,1176,9,50,59,23.40,1024.14,1.011,0.025,-0.132,,,
1750169940.0973656,1177,10,50,60,23.40,1024.18,1.015,0.022,-0.125,,,
1750169940.2148273,1178,11,50,61,23.40,1024.16,1.007,0.014,-0.125,,,
1750169941.3269756,1179,8,50,58,23.40,1024.17,1.012,0.019,-0.135,,,
1750169942.374329,1180,8,50,58,23.40,1024.18,1.011,0.019,-0.137,,,
1750169943.333661,1180,9,50,59,23.40,1024.18,1.010,0.020,-0.128,,,
1750169944.5873818,1181,10,50,60,23.40,1024.18,1.009,0.022,-0.130,,,
1750169945.846329,1182,10,50,60,23.40,1024.21,1.007,0.021,-0.133,,,
1750169946.853949,1183,6,50,56,23.40,1024.19,1.007,0.023,-0.130,,,
1750169948.1433513,1184,10,50,60,23.40,1024.18,1.010,0.022,-0.126,,,
1750169949.5803223,1185,8,50,58,23.40,1024.16,1.011,0.021,-0.124,,,
1750169950.5604877,1186,10,50,60,23.40,1024.16,1.012,0.021,-0.123,,,
1750169951.7299333,1187,5,50,55,23.40,1024.15,1.008,0.017,-0.128,,,
1750169952.9817703,1188,9,50,59,23.40,1024.16,1.010,0.013,-0.130,,,
1750169954.1647778,1189,12,50,62,23.40,1024.18,0.999,0.022,-0.134,,,
1750169955.3270962,1190,5,50,55,23.40,1024.12,1.007,0.017,-0.135,,,
1750169956.723874,1191,10,50,60,23.40,1024.16,1.010,0.015,-0.133,,,
1750169957.9828134,1192,11,50,61,23.40,1024.12,1.010,0.023,-0.130,,,
1750169959.1112318,1193,5,50,55,23.40,1024.17,1.012,0.021,-0.132,,,
1750169960.288677,1194,11,50,61,23.40,1024.11,1.013,0.021,-0.133,,,
1750169961.5129204,1195,5,50,55,23.40,1024.13,1.009,0.024,-0.130,,,
1750169962.7526455,1196,10,50,60,23.40,1024.05,1.011,0.022,-0.129,,,
1750169964.0428128,1197,8,50,58,23.40,1024.21,1.014,0.020,-0.123,,,
1750169965.1615613,1198,8,50,58,23.40,1024.15,1.011,0.023,-0.129,,,
1750169966.432146,1199,11,50,61,23.40,1024.15,1.008,0.021,-0.131,,,
1750169967.596103,1200,7,50,57,23.40,1024.11,1.009,0.018,-0.134,,,
1750169968.634406,1201,7,50,57,23.40,1024.12,1.004,0.015,-0.127,,,
1750169969.8230524,1202,8,50,58,23.40,1024.14,1.009,0.020,-0.130,,,
1750169970.7278984,1202,8,50,58,23.40,1024.13,1.014,0.017,-0.130,,,
1750169974.1569006,1203,7,50,57,23.40,1024.17,1.008,0.020,-0.130,,,
1750169974.2027037,1204,11,50,61,23.40,1024.19,1.013,0.022,-0.136,,,
1750169974.212845,1205,12,50,62,23.40,1024.08,1.003,0.020,-0.130,,,
1750169975.2485325,1206,8,50,58,23.40,1024.16,1.010,0.019,-0.124,,,
1750169976.171468,1207,7,50,57,23.40,1024.14,1.013,0.018,-0.133,,,
1750169977.511146,1208,10,50,60,23.40,1024.13,1.015,0.020,-0.122,,,
1750169978.5110073,1209,8,50,58,23.40,1024.14,1.011,0.017,-0.130,,,
1750169979.6614294,1210,8,50,58,23.40,1024.17,1.017,0.020,-0.123,,,
1750169980.6422868,1211,5,50,55,23.40,1024.06,1.011,0.020,-0.131,,,
1750169981.9086971,1212,8,50,58,23.40,1024.22,1.008,0.021,-0.125,,,
1750169983.18518,1212,8,50,58,23.40,1024.11,1.013,0.011,-0.132,,,
1750169984.2935677,1213,8,50,58,23.40,1024.16,1.004,0.020,-0.129,,,
1750169985.5428576,1214,7,50,57,23.40,1024.17,1.014,0.018,-0.131,,,
1750169986.9151914,1215,12,50,62,23.40,1024.21,1.000,0.017,-0.130,,,
1750169988.0197475,1216,5,50,55,23.40,1024.14,1.010,0.025,-0.139,,,
1750169989.2155845,1217,9,50,59,23.40,1024.17,1.009,0.016,-0.138,,,
1750169990.57225,1218,9,50,59,23.40,1024.14,1.016,0.024,-0.132,,,
1750169991.639622,1219,10,50,60,23.40,1024.14,1.010,0.021,-0.122,,,
1750169992.630396,1220,7,50,57,23.40,1024.12,1.008,0.026,-0.134,,,
1750169993.614154,1221,6,50,56,23.40,1024.08,1.010,0.018,-0.130,,,
1750169994.929919,1222,8,50,58,23.40,1024.16,1.012,0.025,-0.122,,,
1750169996.0779717,1223,9,50,59,23.40,1024.10,1.009,0.019,-0.130,,,
1750169997.1269214,1224,8,50,58,23.40,1024.12,1.007,0.021,-0.128,,,
1750169998.3031886,1225,8,50,58,23.40,1024.15,1.009,0.022,-0.137,,,
1750169999.40987,1226,7,50,57,23.40,1024.16,1.006,0.017,-0.135,,,
1750170000.3773942,1227,8,50,58,23.40,1024.18,1.015,0.018,-0.123,,,
1750170001.372604,1228,8,50,58,23.40,1024.18,1.008,0.027,-0.134,,,
1750170002.3687904,1229,8,50,58,23.40,1024.14,1.015,0.023,-0.128,,,
1750170003.4784138,1230,11,50,61,23.40,1024.12,1.010,0.020,-0.128,,,
1750170004.5516667,1231,7,50,57,23.40,1024.15,1.020,0.015,-0.124,,,
1750170005.6298332,1232,8,50,58,23.40,1024.18,1.005,0.022,-0.118,,,
