timestamp,id,radio_latency,mqtt_latency,total_latency,temperatura,pressao,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
1750133523.6204367,4529,50,50,100,23.60,1023.61,0.220,-0.010,-1.037,,,
1750133524.804351,4530,50,50,100,23.60,1023.60,0.229,-0.019,-1.044,,,
1750133525.9349043,4531,50,50,100,23.60,1023.64,0.225,-0.016,-1.042,,,
1750133527.074095,4532,50,50,100,23.60,1023.62,0.224,-0.016,-1.041,,,
1750133528.2293134,4533,50,50,100,23.60,1023.59,0.226,-0.015,-1.048,,,
1750133529.383894,4534,50,50,100,23.60,1023.63,0.230,-0.016,-1.046,,,
1750133530.5317204,4535,50,50,100,23.60,1023.61,0.229,-0.016,-1.042,,,
1750133531.6792488,4536,50,50,100,23.60,1023.58,0.228,-0.017,-1.048,,,
1750133532.83447,4537,50,50,100,23.60,1023.65,0.222,-0.016,-1.045,,,
1750133533.9912102,4538,50,50,100,23.60,1023.63,0.233,-0.016,-1.044,,,
1750133535.1424897,4539,50,50,100,23.60,1023.62,0.224,-0.015,-1.051,,,
1750133536.2977164,4540,50,50,100,23.60,1023.55,0.225,-0.017,-1.043,,,
1750133537.4443295,4541,50,50,100,23.60,1023.56,0.227,-0.017,-1.045,,,
1750133538.5986514,4542,50,50,100,23.60,1023.65,0.227,-0.020,-1.048,,,
1750133539.7474873,4543,50,50,100,23.60,1023.57,0.225,-0.017,-1.044,,,
1750133540.9027278,4544,50,50,100,23.60,1023.66,0.226,-0.020,-1.046,,,
1750133542.0756502,4545,50,50,100,23.60,1023.55,0.226,-0.017,-1.045,,,
1750133543.1978617,4546,50,50,100,23.60,1023.54,0.225,-0.010,-1.056,,,
1750133544.3598921,4547,50,50,100,23.60,1023.61,0.225,-0.006,-1.043,,,
1750133544.5628958,3217014719,50,50,100,-1.50,-1.50,-1.498,-1.498,-1.498,,,
1750133545.4930873,4548,50,50,100,23.60,1023.60,0.223,-0.011,-1.043,,,
1750133546.647885,4549,50,50,100,23.60,1023.63,0.227,-0.017,-1.043,,,
1750133547.7934303,4550,50,50,100,23.60,1023.60,0.230,-0.013,-1.039,,,
1750133548.9408228,4551,50,50,100,23.60,1023.66,0.228,-0.016,-1.044,,,
1750133550.0954037,4552,50,50,100,23.60,1023.65,0.225,-0.016,-1.046,,,
1750133550.5434291,3217014719,50,50,100,-1.50,-1.50,-1.498,-1.498,-1.498,,,
1750133551.2688165,4553,50,50,100,23.60,1023.60,0.228,-0.012,-1.035,,,
1750133552.3948967,4554,50,50,100,23.60,1023.66,0.229,-0.017,-1.042,,,
1750133553.5690355,4555,50,50,100,23.60,1023.61,0.226,-0.012,-0.000,,,
1750133554.6938121,4556,50,50,100,23.60,1023.64,0.225,-0.019,-1.042,,,
1750133555.3228745,3217014719,50,50,100,-1.50,-1.50,-1.498,-1.498,-1.498,,,
1750133555.8836846,4557,50,50,100,23.60,1023.58,0.229,-0.014,-1.046,,,
1750133556.9891272,4558,50,50,100,23.60,1023.58,0.221,-0.016,-1.047,,,
1750133558.1414657,4559,50,50,100,23.60,1023.58,0.226,-0.008,-1.040,,,
1750133559.298201,4560,50,50,100,23.60,1023.60,0.228,-0.019,-1.047,,,
1750133560.4514844,4561,50,50,100,23.60,1023.56,0.230,-0.012,-1.047,,,
1750133561.6135185,4562,50,50,100,23.60,1023.63,0.229,-0.016,-1.047,,,
1750133562.7498395,4563,50,50,100,23.60,1023.65,0.224,-0.011,-1.019,,,
1750133563.8928096,4564,50,50,100,23.60,1023.59,0.230,-0.016,-1.046,,,
1750133565.044621,4565,50,50,100,23.60,1023.60,0.232,-0.019,-1.038,,,
1750133566.2000277,4566,50,50,100,23.60,1023.64,0.230,-0.013,-1.052,,,
